location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
稚内,2025-07-07T16:00:00+09:00,2025-07-05T17:43:10.736710+09:00,24.0,,,clear,快晴,0.0,77.0,5.0,"{'weather_code': '500', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T17:00:00+09:00,2025-07-05T17:43:10.738497+09:00,23.0,,,clear,快晴,0.0,81.0,5.0,"{'weather_code': '500', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T18:00:00+09:00,2025-07-05T17:43:10.740318+09:00,21.0,,,clear,晴れ,0.0,85.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T19:00:00+09:00,2025-07-05T17:43:10.741854+09:00,20.0,,,clear,晴れ,0.0,88.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T20:00:00+09:00,2025-07-05T17:43:10.743625+09:00,19.0,,,clear,晴れ,0.0,92.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T21:00:00+09:00,2025-07-05T17:43:10.745389+09:00,19.0,,,clear,晴れ,0.0,94.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T22:00:00+09:00,2025-07-05T17:43:10.747087+09:00,18.0,,,clear,晴れ,0.0,94.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-07T23:00:00+09:00,2025-07-05T17:43:10.748812+09:00,18.0,,,clear,晴れ,0.0,94.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T00:00:00+09:00,2025-07-05T17:43:10.750590+09:00,18.0,,,clear,晴れ,0.0,94.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-07-08T01:00:00+09:00,2025-07-05T17:43:10.752295+09:00,17.0,,,clear,晴れ,0.0,94.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
